"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm-DRA1 11993077 EK","11993076",1,0,0,0,0,0,1,100,0
"Putative Dm-DRA1 11993696 EK","11993695",1,0,0,0,0,0,1,100,0
"Putative Dm-DRA1 16766813 EK","16766812",0,0,1,0,0,0,1,100,0
"Putative Dm-DRA1 17155322 EK","17155321",0,0,1,0,0,0,1,100,0
"Total","",2,0,2,0,0,0,4,100,0
