"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative L1 11915726 EK","11915725",0,0,0,1,0,0,1,0,100
"Total","",0,0,0,1,0,0,1,0,100
