"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"neuron 11903225","11903224",0,1,0,0,0,0,1,100,0
"Total","",0,1,0,0,0,0,1,100,0
