"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative R7_DRA 11728780 TO","11728779",0,0,1,0,0,15,16,6.2,93.8
"Putative R7_DRA 10300950 TO","10300949",0,0,0,0,16,0,16,0,100
"Putative R7_DRA 10191736 TO","10191735",0,0,0,10,0,0,10,0,100
"Total","",0,0,1,10,16,15,42,2.4,97.6
