"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative C2 12044213 EK","12044212",0,0,2,0,0,3,5,40,60
"Putative C2 11906498 GS","11906497",0,2,0,0,1,0,3,66.7,33.3
"Total","",0,2,2,0,1,3,8,50,50
