"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative L3 12018070 EK","12018069",0,0,1,0,0,0,1,100,0
"Putative L3 10653986 EK","10653985",0,0,0,0,1,0,1,0,100
"Total","",0,0,1,0,1,0,2,50,50
