"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Mi15 10655927 TO","10655926",0,2,0,0,2,0,4,50,50
"Putative Mi15 11916191 EK","11916190",0,0,0,1,0,0,1,0,100
"Total","",0,2,0,1,2,0,5,40,60
