"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm5a-like 11481725 MF","11481724",0,0,1,0,0,0,16,0,17,5.9,94.1,0,100
"Total","",0,0,1,0,0,0,16,0,17,5.9,94.1,0,100
