"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative L1 col I1 11472941 HL","11472940",0,0,0,0,0,13,0,0,13,0,100,100,0
"Putative L1 col A1 10108986 MF","10108985",2,0,0,0,8,0,0,0,10,20,80,100,0
"Putative L1 col H1 11472771 CL","11472770",0,0,0,1,0,0,0,8,9,11.1,88.9,0,100
"Putative L1 col G1 11470179 MF","11470178",0,0,0,0,0,0,6,0,6,0,100,0,100
"Total","",2,0,0,1,8,13,6,8,38,7.9,92.1,60.5,39.5
