"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mti 10289206 MF","11666155",0,2,0,0,2,5,0,0,9,22.2,77.8,100,0
"Putative Mti 11481396 CL","11481395",0,0,0,0,0,0,7,0,7,0,100,0,100
"Putative Mti 11466227 CL","11466226",0,0,0,0,3,0,0,0,3,0,100,100,0
"Total","",0,2,0,0,5,5,7,0,19,10.5,89.5,63.2,36.8
