"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mi 11453950 HL","11453949",0,2,0,1,0,0,0,0,3,100,0,66.7,33.3
"Total","",0,2,0,1,0,0,0,0,3,100,0,66.7,33.3
