"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative ML_VPN2 11474247 CL","11671334",0,0,0,0,0,0,0,2,2,0,100,0,100
"Total","",0,0,0,0,0,0,0,2,2,0,100,0,100
