"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mi4 col G1 11481479 MF","11481478",0,0,0,0,0,0,30,0,30,0,100,0,100
"Putative Mi4 col I1 11467500 HL","11467499",0,0,0,0,0,29,0,0,29,0,100,100,0
"Putative Mi4 col A1 11465885 CL","11465884",0,0,0,0,29,0,0,0,29,0,100,100,0
"Putative Mi4 col H1 11473654 CL","11473653",0,0,0,0,0,0,0,28,28,0,100,0,100
"Total","",0,0,0,0,29,29,30,28,116,0,100,50,50
