"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative ML_VPN1 11458373 CL","11458372",0,0,0,0,14,0,0,1,15,0,100,93.3,6.7
"Putative ML_VPN1 11467871 HL","11467870",0,0,0,0,0,7,0,0,7,0,100,100,0
"Putative ML_VPN1 11466212 CL","11466211",0,0,0,0,5,0,0,0,5,0,100,100,0
"Total","",0,0,0,0,19,7,0,1,27,0,100,96.3,3.7
