"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm5b-like 11447921 MF","11447920",0,0,7,0,0,0,16,0,23,30.4,69.6,0,100
"Putative Tm5b-like 11447511 CL","11447510",0,0,4,0,0,0,7,0,11,36.4,63.6,0,100
"Putative Tm5b-like 11468647 CL","11468646",0,0,2,1,0,0,0,4,7,42.9,57.1,0,100
"Total","",0,0,13,1,0,0,23,4,41,34.1,65.9,0,100
