"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm5a 11447184 MF","11447183",0,0,29,0,0,0,0,0,29,100,0,0,100
"Putative Tm5a 11453107 CL","11453106",0,0,0,24,0,0,0,0,24,100,0,0,100
"Total","",0,0,29,24,0,0,0,0,53,100,0,0,100
