"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm2 11448823 HL","11448822",0,12,0,0,0,24,0,0,36,33.3,66.7,100,0
"Putative Dm2 10499250 MF","10499249",6,0,0,0,29,0,0,0,35,17.1,82.9,100,0
"Putative Dm2 11453278 CL","11453277",0,0,0,3,0,0,0,15,18,16.7,83.3,0,100
"Putative Dm2 11466217 CL","11466216",0,0,0,0,7,0,0,0,7,0,100,100,0
"Putative Dm2 11449695 HL","11449694",0,2,0,0,0,0,0,0,2,100,0,100,0
"Total","",6,14,0,3,36,24,0,15,98,23.5,76.5,81.6,18.4
