"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mi10 11481717 MF","11481716",0,0,0,0,0,0,5,0,5,0,100,0,100
"Total","",0,0,0,0,0,0,5,0,5,0,100,0,100
