"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative LaWF1 8286417189 CL","14624795",0,0,0,0,0,1,0,0,1,0,100,100,0
"Total","",0,0,0,0,0,1,0,0,1,0,100,100,0
