"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm1 8942830690 CL","14653782",0,0,0,0,1,0,0,0,1,0,100,100,0
"Total","",0,0,0,0,1,0,0,0,1,0,100,100,0
