"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm11 11450454 CL","11450453",15,4,9,18,2,0,3,1,52,88.5,11.5,40.4,59.6
"Putative Dm11 11444399 HL","11444398",0,9,0,0,0,2,0,0,11,81.8,18.2,100,0
"Putative Dm11 11455072 HL","11455071",0,0,0,2,0,0,0,0,2,100,0,0,100
"Total","",15,13,9,20,2,2,3,1,65,87.7,12.3,49.2,50.8
