"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Tm3 14359935 CL","14359934",0,0,1,0,0,0,0,0,1,100,0,0,100
"Total","",0,0,1,0,0,0,0,0,1,100,0,0,100
