"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mi9 col A1 10422285 MF","10422284",3,0,0,0,12,0,0,0,15,20,80,100,0
"Putative Mi9 col I1 11467629 HL","11467628",0,0,0,0,0,14,0,0,14,0,100,100,0
"Putative Mi9 col G1 11447431 CL","11447430",0,0,5,0,0,0,1,0,6,83.3,16.7,0,100
"Putative Mi9 col H1 11453112 CL","11453111",0,0,0,4,0,0,0,0,4,100,0,0,100
"Total","",3,0,5,4,12,14,1,0,39,30.8,69.2,74.4,25.6
