"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative C2 11453788 CL","11453787",0,6,9,4,0,0,0,0,19,100,0,31.6,68.4
"Putative C2 11456777 CL","11456776",1,0,0,0,6,0,0,0,7,14.3,85.7,100,0
"Putative C2 11472486 HL","11472485",0,0,0,0,0,2,0,0,2,0,100,100,0
"Total","",1,6,9,4,6,2,0,0,28,71.4,28.6,53.6,46.4
