"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative T1 11454504 MF","11454503",0,0,0,0,1,0,0,0,1,0,100,100,0
"Total","",0,0,0,0,1,0,0,0,1,0,100,100,0
