"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative aMe12 VPN ME.R to vACA OLCT bilateral 7038036 JS ECM","7038035",2,0,0,0,15,0,0,0,17,11.8,88.2,100,0
"Putative aMe12 VPN ME.R to vACA OLCT bilateral 28842 AA GA","28841",1,1,0,0,0,11,0,0,13,15.4,84.6,100,0
"Total","",3,1,0,0,15,11,0,0,30,13.3,86.7,100,0
