"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mi15 11445262 MF","11445261",5,0,2,0,13,0,22,0,42,16.7,83.3,42.9,57.1
"Putative Mi15 11450568 CL","11450567",0,0,0,3,0,0,0,32,35,8.6,91.4,0,100
"Putative Mi15 11453819 CL","11453818",0,0,2,0,0,0,25,2,29,6.9,93.1,0,100
"Putative Mi15 11484381 HL","11484380",0,1,0,0,0,25,0,0,26,3.8,96.2,100,0
"Total","",5,1,4,3,13,25,47,34,132,9.8,90.2,33.3,66.7
