"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Mt_DRA_2 12109027 EK","12109026",1,0,0,0,0,0,1,100,0
"Putative Mt_DRA_2 11993433 EK","11993432",1,0,0,0,0,0,1,100,0
"Putative Mt_DRA_2 11992771 EK","11992770",1,0,0,0,0,0,1,100,0
"Total","",3,0,0,0,0,0,3,100,0
