"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative R8_DRA 10300964 TO","10300963",0,16,0,0,0,0,16,100,0
"Putative R8_DRA 11728828 TO","11728827",0,0,15,0,0,0,15,100,0
"Putative R8_DRA 10190509 TO","10190508",10,0,0,1,0,0,11,90.9,9.1
"Total","",10,16,15,1,0,0,42,97.6,2.4
