"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative C3 12002623 EK","12002622",0,0,0,0,0,1,1,0,100
"Total","",0,0,0,0,0,1,1,0,100
