"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative L3 12018070 EK","12018069",0,0,7,0,0,6,13,53.8,46.2
"Putative L3 10653986 EK","10653985",0,5,0,0,7,0,12,41.7,58.3
"Putative L3 11917228 EK","11917227",4,0,0,3,0,0,7,57.1,42.9
"Putative L3 6831613493 EK","15970720",0,1,0,0,0,0,1,100,0
"Putative L3 17253296 EK","17253295",0,0,0,0,0,1,1,0,100
"Total","",4,6,7,3,7,7,34,50,50
