"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative R7_DRA 11728780 TO","11728779",0,0,1,0,0,37,38,2.6,97.4
"Putative R7_DRA 10300950 TO","10300949",0,0,0,0,38,0,38,0,100
"Putative R7_DRA 10191736 TO","10191735",0,0,0,33,0,0,33,0,100
"Total","",0,0,1,33,38,37,109,0.9,99.1
