"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm9 12013130 EK","12013129",0,0,31,0,0,36,67,46.3,53.7
"Putative Dm9 11916196 EK","11916195",26,0,0,36,0,0,62,41.9,58.1
"Putative Dm9 10657501 GS","10657500",0,17,0,0,35,0,52,32.7,67.3
"Putative Dm9 14310275 GS","14310274",0,16,0,0,5,0,21,76.2,23.8
"Putative Dm9 14933803 EK","14933802",0,3,0,0,1,0,4,75,25
"Putative Dm9 10655889 EK","10655888",0,2,0,0,2,0,4,50,50
"Total","",26,38,31,36,43,36,210,45.2,54.8
