"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative ML_VPN2 11995243 EK","11995242",3,0,0,0,0,0,3,100,0
"Total","",3,0,0,0,0,0,3,100,0
