"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm11 17161736 EK","17161735",0,0,4,0,0,8,12,33.3,66.7
"Total","",0,0,4,0,0,8,12,33.3,66.7
