"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm 16110050 EK","16110049",0,2,0,0,0,0,2,100,0
"Putative Dm 11993804 EK","11993803",1,0,0,1,0,0,2,50,50
"Putative Dm 10479098 EK","10479097",2,0,0,0,0,0,2,100,0
"Total","",3,2,0,1,0,0,6,83.3,16.7
