"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative MeMe_DRA 10439443 EK","10439442",6,0,21,0,0,0,27,100,0
"Putative MeMe_DRA 11993544 EK","11993543",9,0,0,0,0,0,9,100,0
"Total","",15,0,21,0,0,0,36,100,0
