"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Mi4 12045603 EK","12045602",0,0,0,0,1,0,1,0,100
"Total","",0,0,0,0,1,0,1,0,100
