"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative MeTu_unknown 17250637 EK","17250636",0,0,4,0,0,0,4,100,0
"Total","",0,0,4,0,0,0,4,100,0
