"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Mi9 12015967 EK","12015966",0,0,0,0,0,9,9,0,100
"Putative Mi9 11918591 EK","11918590",0,0,0,3,0,0,3,0,100
"Putative Mi9 10655487 EK","10655486",0,0,0,0,2,0,2,0,100
"Putative Mi9 11947153 EK","11947152",0,0,0,1,0,0,1,0,100
"Total","",0,0,0,4,2,9,15,0,100
