"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Dm2 17162383 EK","17162382",0,0,6,0,0,15,21,28.6,71.4
"Putative Dm2 11918131 EK","11918130",5,0,0,7,0,0,12,41.7,58.3
"Putative Dm2 14065354 EK","14065353",0,10,0,0,1,0,11,90.9,9.1
"Putative Dm2 10655669 TO","10655668",0,0,0,0,4,0,4,0,100
"Putative Dm2 17254551 EK","17254550",0,0,2,0,0,0,2,100,0
"Putative Dm2 14305319 EK","14305318",0,0,0,2,0,0,2,0,100
"Total","",5,10,8,9,5,15,52,44.2,55.8
