"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative aMe12 VPN ME.R to vACA OLCT bilateral 164545 GA ECM","164544",0,1,2,0,1,0,4,75,25
"Putative aMe12 VPN ME.R to vACA OLCT bilateral 28842 AA GA","28841",0,2,0,0,0,0,2,100,0
"Total","",0,3,2,0,1,0,6,83.3,16.7
