"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative Mti_DRA_2 11995289 EK","11995288",5,0,0,0,0,0,5,100,0
"Putative Mti_DRA_2 11693572 PA","11693571",0,0,4,0,0,0,4,100,0
"Putative Mti_DRA_2 11993445 EK","11993444",3,0,0,0,0,0,3,100,0
"Putative Mti_DRA_2 11903803 GS","11903802",0,3,0,0,0,0,3,100,0
"Total","",8,3,4,0,0,0,15,100,0
