"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative L2 12043826 EK","12043825",0,0,2,0,0,0,2,100,0
"Putative L2 11915907 EK","11915906",1,0,0,1,0,0,2,50,50
"Total","",1,0,2,1,0,0,4,75,25
