"name","skid","DRAR7a","DRAR7b","DRAR7c","DRAR8a","DRAR8b","DRAR8c","total","%R7","%R8"
"Putative TmY 12043438 EK","12043437",0,0,0,3,0,0,3,0,100
"Total","",0,0,0,3,0,0,3,0,100
