"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm11 11450454 CL","11450453",0,0,0,0,0,0,0,1,1,0,100,0,100
"Total","",0,0,0,0,0,0,0,1,1,0,100,0,100
