"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative R7 col A1 10082583 MF","10082582",0,0,0,0,20,0,0,0,20,0,100,100,0
"Putative R7 col H1 10653594 MF","10653593",0,0,0,0,0,0,0,19,19,0,100,0,100
"Putative R7 col I1 10538511 MF","10538510",0,0,0,0,0,11,0,0,11,0,100,100,0
"Putative R7 col G1 10585941 MF","10585940",0,0,0,0,0,0,7,0,7,0,100,0,100
"Putative R7 10653781 MF","10653780",0,0,0,2,0,0,0,0,2,100,0,0,100
"Total","",0,0,0,2,20,11,7,19,59,3.4,96.6,52.5,47.5
