"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm8 10109587 MF","10109586",2,0,0,0,0,0,0,0,2,100,0,100,0
"Total","",2,0,0,0,0,0,0,0,2,100,0,100,0
