"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative R8 col G1 10629255 MF","10629254",0,0,46,0,0,0,0,0,46,100,0,0,100
"Putative R8 col A1 10086692 MF","10086691",39,0,0,0,1,0,0,0,40,97.5,2.5,100,0
"Putative R8 col I1 11466409 HL","11466408",0,36,0,0,0,0,0,0,36,100,0,100,0
"Putative R8 col H1 11468319 CL","11468318",0,0,0,36,0,0,0,0,36,100,0,0,100
"Total","",39,36,46,36,1,0,0,0,158,99.4,0.6,48.1,51.9
