"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Mt_VPN OA-AL2i3 3401517 MR","14286406",0,0,2,0,0,0,3,0,5,40,60,0,100
"Total","",0,0,2,0,0,0,3,0,5,40,60,0,100
