"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative C2 11453788 CL","11453787",0,2,1,2,0,0,0,0,5,100,0,40,60
"Putative C2 11472486 HL","11472485",0,0,0,0,0,2,0,0,2,0,100,100,0
"Putative C2 11456777 CL","11456776",1,0,0,0,0,0,0,0,1,100,0,100,0
"Total","",1,2,1,2,0,2,0,0,8,75,25,62.5,37.5
