"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative Dm9 11452428 MF","11452427",45,35,39,35,33,36,29,29,281,54.8,45.2,53,47
"Putative Dm9 11447062 CL","11447061",2,0,9,0,0,0,7,0,18,61.1,38.9,11.1,88.9
"Putative Dm9 11450496 CL","11450495",0,0,3,4,0,0,2,3,12,58.3,41.7,0,100
"Putative Dm9 11484680 MF","11484679",4,0,0,0,5,0,0,0,9,44.4,55.6,100,0
"Putative Dm9 11454715 CL","11454714",0,0,0,2,0,3,0,2,7,28.6,71.4,42.9,57.1
"Putative Dm9 11444387 HL","11444386",0,4,0,0,0,2,0,0,6,66.7,33.3,100,0
"Total","",51,39,51,41,38,41,38,34,333,54.7,45.3,50.8,49.2
